Datos de la simulacion:
-----------------------
    Archivo de carga: carga98.sch
    Simulacion: Multiproceso con prioridad
    Politica: Round Robin
    Quantum: 6
    Gestor de memoria: Partici¢n est tica
    Ajuste: Mejor ajuste
    TIO: 5
    Memoria: 768

Eficiencia:
----------
    Tiempo de simulacion: 5957
    CPU util: 5317
    Cambios de contexto: 4139
    Eficiencia CPU: 52%

Tiempo de espera en colas:
--------------------------
    N§ pro   Tmp. esp
    ------   --------
      7         247      
      24        154      
      39        1        
      47        30       
      63        86       
      81        1        
      98        2        
      2         86       
      4         97       
      15        1        
      31        63       
      52        23       
      69        9        
      77        94       
      0         24       
      1         0        
      6         4        
      8         9        
      11        9        
      12        24       
      20        14       
      23        297      
      29        321      
      36        14       
      38        54       
      41        25       
      44        135      
      48        48       
      49        52       
      51        110      
      55        109      
      59        460      
      60        113      
      68        290      
      74        158      
      75        196      
      78        164      
      84        200      
      85        14       
      93        295      
      95        43       
      97        133      
      99        295      
      5         178      
      14        88       
      16        11       
      18        182      
      19        206      
      21        256      
      25        239      
      28        303      
      30        72       
      32        116      
      33        163      
      34        418      
      37        154      
      40        89       
      43        65       
      45        14       
      54        268      
      56        271      
      57        288      
      62        386      
      64        170      
      65        97       
      67        260      
      71        65       
      72        157      
      80        135      
      82        149      
      83        101      
      88        228      
      92        276      
      9         168      
      22        201      
      27        253      
      61        213      
      87        72       
      89        250      
      90        34       
      96        165      
      3         374      
      10        154      
      13        370      
      17        187      
      26        539      
      35        397      
      42        423      
      46        494      
      50        683      
      53        126      
      58        1173     
      66        869      
      70        196      
      73        311      
      76        697      
      79        993      
      86        1008     
      91        99       
      94        730      

Productividad:
--------------
    N§ de procesos simulados: 100
    Tiempo simulacion: 5957
    Productividad: 0,016

Tasa de CPU:
-----------
    N§ proc    TasaCPU
    -------    -------
      7         1%
      24        4%
      39        85%
      47        9%
      63        4%
      81        66%
      98        75%
      2         12%
      4         6%
      15        75%
      31        11%
      52        20%
      69        55%
      77        11%
      0         68%
      1         100%
      6         94%
      8         88%
      11        75%
      12        70%
      20        83%
      23        20%
      29        12%
      36        81%
      38        50%
      41        59%
      44        24%
      48        53%
      49        41%
      51        31%
      55        28%
      59        7%
      60        24%
      68        9%
      74        15%
      75        14%
      78        28%
      84        10%
      85        64%
      93        20%
      95        37%
      97        39%
      99        6%
      5         21%
      14        27%
      16        89%
      18        8%
      19        14%
      21        23%
      25        21%
      28        16%
      30        28%
      32        30%
      33        35%
      34        16%
      37        25%
      40        45%
      43        18%
      45        51%
      54        24%
      56        25%
      57        19%
      62        20%
      64        25%
      65        43%
      67        12%
      71        41%
      72        27%
      80        39%
      82        37%
      83        42%
      88        10%
      92        17%
      9         23%
      22        24%
      27        21%
      61        24%
      87        57%
      89        22%
      90        70%
      96        37%
      3         20%
      10        35%
      13        21%
      17        34%
      26        15%
      35        11%
      42        11%
      46        16%
      50        8%
      53        37%
      58        3%
      66        9%
      70        25%
      73        16%
      76        10%
      79        8%
      86        8%
      91        17%
      94        8%
